,Year,Country,Latitude,Longitude,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Damage_Rating
296,2009,Cuba,23.116667,-81.233333,0,1,4,184,0
297,2009,Dominican Republic,38.357222,-137.593056,1,0,33,146,2
298,2009,Ecuador,-3.324167,-158.404722,9,0,0,0,6
299,2009,France,97.346667,-21.556667,230,0,0,0,9
300,2009,Germany,50.116667,8.683333,1,0,0,0,3
301,2009,Greece,76.573611,-2.636389000000001,4,0,0,0,5
302,2009,Iraq,33.233333,44.916667,3,1,0,0,3
303,2009,Ireland,52.077778,-9.520278,0,0,0,3,0
304,2009,Israel,32.333333,34.833333,4,0,0,0,2
305,2009,Italy,129.983055,10.124444,4,0,0,3,7
306,2009,Jamaica,17.935554999999997,-76.7875,0,0,15,139,2
307,2009,Japan,71.182778,275.27861099999996,4,0,0,0,3
308,2009,Kenya,-2.643334,73.62972199999999,1,1,2,0,6
309,2009,Mexico,68.904721,-304.251944,6,1,0,2,8
310,2009,Morocco,31.316667,-7.366667,4,0,0,0,3
311,2009,Netherlands Antilles,30.175832,-131.411667,1,0,9,3,4
312,2009,Panama,16.637501,-159.467223,4,2,0,0,5
313,2009,Paraguay,-25.4725,-54.856389,1,0,0,0,2
314,2009,Peru,-30.322499999999998,-223.21472300000002,5,1,3,1,7
315,2009,Portugal,38.533333,-7.889444,2,0,0,0,3
316,2009,Russia,165.497778,218.70444400000002,13,1,0,0,6
317,2009,Saudi Arabia,28.083333000000003,48.733333,0,0,0,5,2
318,2009,South Africa,-124.724445,101.87416800000001,2,2,10,27,9
319,2009,Sudan,35.548888000000005,69.46694500000001,2,0,0,4,5
320,2009,Sweden,58.367778,11.775278,1,0,0,0,3
321,2009,Taiwan,24.351111,118.309444,2,1,0,0,0
322,2009,United Kingdom,105.973889,-4.676388,2,0,0,1,3
323,2009,United States,60571.46468800009,-157058.930815,521,283,390,4745,3096
